SaveFile_000001_000042 (3) 約定履歴照会 ,,,,,,,,,,,,,
商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了,,,,,,,,
すべての商品,2/1/2026,2/28/2026,42,1,42,,,,,,,,
（注）明細数はご指定された期間の合計です。,,,,,,,,,,,,,
約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
2/2/2026,寿スピリッツ,2222,--,現引,6ヶ月, -- ,--,100,1785,41,--,2/4/2026,-178541
2/2/2026,ｉＦｒｅｅＥＴＦ　日経平均インバース・インデックス,1456,--,現引,6ヶ月, -- ,--,100,1645,37,--,2/4/2026,-164537
2/5/2026,寿スピリッツ,2222,東証,株式現物売,--, 一般 ,--,100,1998,--,--,2/9/2026,199800
2/5/2026,三井ハイテック,6966,東証（外）,株式現物売,--, 一般 ,--,200,781.3,--,--,2/9/2026,156260
2/5/2026,三井ハイテック,6966,東証,株式現物売,--, 一般 ,--,500,776,--,--,2/9/2026,388000
2/5/2026,三井ハイテック,6966,東証,株式現物売,--, 一般 ,--,200,784,--,--,2/9/2026,156800
2/5/2026,三井ハイテック,6966,東証,株式現物売,--, 一般 ,--,600,780,--,--,2/9/2026,468000
2/5/2026,東急,9005,PTS（X）,株式現物売,--, 一般 ,--,100,1802,--,--,2/9/2026,180200
2/5/2026,東急,9005,PTS（O）,株式現物売,--, 一般 ,--,100,1802,--,--,2/9/2026,180200
2/5/2026,東急,9005,東証,株式現物売,--, 一般 ,--,300,1802,--,--,2/9/2026,540600
2/5/2026,東急,9005,PTS（X）,信用新規売,6ヶ月, -- ,--,100,1801,--,--,2/9/2026,--
2/5/2026,東急,9005,東証,信用新規売,6ヶ月, -- ,--,100,1801,--,--,2/9/2026,--
2/5/2026,東急,9005,PTS（O）,信用新規売,6ヶ月, -- ,--,300,1801,--,--,2/9/2026,--
2/5/2026,東急,9005,PTS（X）,信用新規売,6ヶ月, -- ,--,200,1799.1,--,--,2/9/2026,--
2/5/2026,東急,9005,PTS（O）,信用新規売,6ヶ月, -- ,--,300,1799.2,--,--,2/9/2026,--
2/5/2026,東急,9005,--,現渡,6ヶ月, -- ,--,300,1801,16,--,2/9/2026,540284
2/5/2026,東急,9005,--,現渡,6ヶ月, -- ,--,100,1801,5,--,2/9/2026,180095
2/5/2026,東急,9005,--,現渡,6ヶ月, -- ,--,200,1799.1,10,--,2/9/2026,359810
2/5/2026,東急,9005,--,現渡,6ヶ月, -- ,--,300,1799.2,16,--,2/9/2026,539744
2/5/2026,東急,9005,--,現渡,6ヶ月, -- ,--,100,1801,5,--,2/9/2026,180095
2/5/2026,東京エレクトロン,8035,東証,信用新規買,6ヶ月, -- ,--,100,39800,--,--,2/9/2026,--
2/9/2026,オリオンビール,409A,東証,信用新規買,6ヶ月, -- ,--,200,1320,--,--,2/12/2026,--
2/12/2026,オリオンビール,409A,--,現引,6ヶ月, -- ,--,200,1320,101,--,2/16/2026,-264101
2/13/2026,ＫＤＤＩ,9433,東証,信用新規売,6ヶ月, -- ,--,200,2750,--,--,2/17/2026,--
2/13/2026,東京エレクトロン,8035,東証,信用返済売,6ヶ月, -- ,--,100,42400,2747,--,2/17/2026,257253
2/16/2026,ＫＤＤＩ,9433,東証,信用返済買,6ヶ月, -- ,--,200,2675,33,--,2/18/2026,14967
2/17/2026,日立製作所,6501,東証,株式現物買,--, 一般 ,--,100,4850,--,--,2/19/2026,485000
2/17/2026,宮地エンジニアリンググループ,3431,東証,信用返済売,6ヶ月, -- ,--,500,1874,71,--,2/19/2026,1929
2/17/2026,宮地エンジニアリンググループ,3431,東証,信用新規買,6ヶ月, -- ,--,500,1870,--,--,2/19/2026,--
2/17/2026,ツムラ,4540,東証,信用新規買,6ヶ月, -- ,--,100,3979,--,--,2/19/2026,--
2/18/2026,ツムラ,4540,東証,信用返済売,6ヶ月, -- ,--,100,4066,61,--,2/20/2026,8639
2/20/2026,ブリヂストン,5108,東証,信用新規買,6ヶ月, -- ,--,200,3608,--,--,2/25/2026,--
2/20/2026,日立製作所,6501,東証,信用新規買,6ヶ月, -- ,--,100,4917,--,--,2/25/2026,--
2/20/2026,オリンパス,7733,PTS（X）,信用新規買,6ヶ月, -- ,--,500,1496.9,--,--,2/25/2026,--
2/20/2026,ブリヂストン,5108,--,現引,6ヶ月, -- ,--,200,3608,55,--,2/25/2026,-721655
2/20/2026,オリンパス,7733,--,現引,6ヶ月, -- ,--,100,1496.9,11,--,2/25/2026,-149701
2/20/2026,オリンパス,7733,--,現引,6ヶ月, -- ,--,400,1496.9,45,--,2/25/2026,-598805
2/24/2026,日立製作所,6501,--,現引,6ヶ月, -- ,--,100,4917,75,--,2/26/2026,-491775
2/26/2026,オリンパス,7733,東証,株式現物売,--, 一般 ,--,500,1498,--,--,3/2/2026,749000
2/26/2026,日立製作所,6501,東証,信用新規売,6ヶ月, -- ,--,100,5100,--,--,3/2/2026,--
2/27/2026,日立製作所,6501,--,現渡,6ヶ月, -- ,--,100,5100,30,--,3/3/2026,509970
2/27/2026,ｉＦｒｅｅＥＴＦ　日経平均インバース・インデックス,1456,東証,信用新規買,6ヶ月, -- ,--,100,1510,--,--,3/3/2026,--
